E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.1,-0.087,0.1,-1.527,0.1,-1.515,0.1,-0.34,0.1,-0.307,0.1,-0.101,0.1,-0.595,0.1,-0.115,0.1,-2.159,0.1,-0.224,0.1,-2.873,0.1,-0.054,0.1,-5.558
0.099,-0.241,0.099,-1.544,0.099,-1.534,0.1,-0.308,0.1,-0.307,0.1,-0.175,0.1,-0.577,0.099,-0.356,0.099,-2.188,0.099,-0.426,0.099,-2.894,0.099,-0.187,0.099,-5.604
0.098,-0.422,0.098,-1.532,0.098,-1.524,0.1,-0.297,0.1,-0.31,0.099,-0.262,0.099,-0.584,0.098,-0.618,0.098,-2.176,0.098,-0.65,0.098,-2.882,0.098,-0.351,0.098,-5.595
0.097,-0.607,0.097,-1.541,0.097,-1.52,0.099,-0.31,0.099,-0.304,0.099,-0.365,0.099,-0.61,0.097,-0.871,0.097,-2.17,0.097,-0.919,0.097,-2.885,0.097,-0.57,0.097,-5.604
0.096,-0.776,0.096,-1.531,0.096,-1.52,0.099,-0.328,0.099,-0.333,0.099,-0.408,0.099,-0.592,0.096,-1.112,0.096,-2.17,0.096,-1.176,0.096,-2.885,0.096,-0.802,0.096,-5.604
0.095,-0.926,0.095,-1.538,0.095,-1.527,0.099,-0.305,0.099,-0.304,0.098,-0.478,0.098,-0.595,0.095,-1.331,0.095,-2.182,0.095,-1.426,0.095,-2.891,0.095,-1.069,0.095,-5.621
0.094,-1.044,0.094,-1.537,0.094,-1.526,0.099,-0.297,0.099,-0.311,0.098,-0.495,0.098,-0.586,0.094,-1.486,0.094,-2.181,0.094,-1.638,0.094,-2.889,0.094,-1.328,0.094,-5.619
0.093,-1.153,0.093,-1.543,0.093,-1.531,0.098,-0.297,0.098,-0.301,0.097,-0.515,0.097,-0.583,0.093,-1.639,0.093,-2.182,0.093,-1.842,0.093,-2.905,0.093,-1.601,0.093,-5.633
0.092,-1.236,0.092,-1.537,0.092,-1.531,0.098,-0.301,0.098,-0.296,0.097,-0.555,0.097,-0.607,0.092,-1.75,0.092,-2.182,0.092,-2.004,0.092,-2.894,0.092,-1.863,0.092,-5.629
0.091,-1.311,0.091,-1.555,0.091,-1.534,0.098,-0.296,0.098,-0.301,0.097,-0.55,0.097,-0.604,0.091,-1.859,0.091,-2.198,0.091,-2.161,0.091,-2.919,0.091,-2.144,0.091,-5.656
