E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA,E /V,I /uA
0.1,-0.181,0.1,-0.284,0.1,-0.123,0.1,-0.503,0.1,-1.371,0.1,-1.369,0.1,-0.207,0.1,-1.85,0.1,-0.337,0.1,-2.517,0.1,-0.291,0.1,-4.943
0.1,-0.187,0.1,-0.268,0.1,-0.233,0.1,-0.508,0.099,-1.386,0.099,-1.377,0.099,-0.445,0.099,-1.866,0.098,-0.82,0.098,-2.491,0.098,-0.689,0.098,-4.925
0.1,-0.216,0.1,-0.262,0.099,-0.342,0.099,-0.515,0.098,-1.376,0.098,-1.369,0.098,-0.672,0.098,-1.853,0.096,-1.274,0.096,-2.497,0.096,-1.195,0.096,-4.925
0.099,-0.221,0.099,-0.262,0.099,-0.383,0.099,-0.508,0.097,-1.382,0.097,-1.362,0.097,-0.891,0.097,-1.846,0.094,-1.621,0.094,-2.492,0.094,-1.704,0.094,-4.922
0.099,-0.264,0.099,-0.302,0.098,-0.426,0.098,-0.504,0.096,-1.374,0.096,-1.362,0.096,-1.081,0.096,-1.846,0.092,-1.886,0.092,-2.512,0.092,-2.192,0.092,-4.938
0.099,-0.254,0.099,-0.274,0.098,-0.443,0.098,-0.503,0.095,-1.38,0.095,-1.369,0.095,-1.239,0.095,-1.859,0.09,-2.06,0.09,-2.491,0.09,-2.601,0.09,-4.934
0.099,-0.25,0.099,-0.267,0.097,-0.468,0.097,-0.511,0.094,-1.374,0.094,-1.359,0.094,-1.351,0.094,-1.845,0.088,-2.188,0.088,-2.511,0.088,-2.975,0.088,-4.94
0.098,-0.242,0.098,-0.265,0.097,-0.468,0.097,-0.509,0.093,-1.38,0.093,-1.38,0.093,-1.465,0.093,-1.853,0.086,-2.267,0.086,-2.504,0.086,-3.288,0.086,-4.94
0.098,-0.256,0.098,-0.276,0.096,-0.481,0.096,-0.508,0.092,-1.374,0.092,-1.365,0.092,-1.535,0.092,-1.851,0.084,-2.348,0.084,-2.53,0.084,-3.586,0.084,-4.964
0.098,-0.254,0.098,-0.265,0.096,-0.491,0.096,-0.506,0.091,-1.388,0.091,-1.38,0.091,-1.609,0.091,-1.857,0.082,-2.374,0.082,-2.515,0.082,-3.793,0.082,-4.954
0.098,-0.262,0.098,-0.256,0.095,-0.498,0.095,-0.512,0.09,-1.379,0.09,-1.373,0.09,-1.65,0.09,-1.859,0.08,-2.405,0.08,-2.52,0.08,-3.987,0.08,-4.957
0.097,-0.256,0.097,-0.267,0.095,-0.486,0.095,-0.509,0.089,-1.38,0.089,-1.371,0.089,-1.682,0.089,-1.846,0.078,-2.42,0.078,-2.512,0.078,-4.136,0.078,-4.955
0.097,-0.27,0.097,-0.287,0.094,-0.492,0.094,-0.508,0.088,-1.38,0.088,-1.371,0.088,-1.705,0.088,-1.863,0.076,-2.451,0.076,-2.53,0.076,-4.291,0.076,-4.975
0.097,-0.254,0.097,-0.262,0.093,-0.494,0.093,-0.509,0.087,-1.388,0.087,-1.382,0.087,-1.745,0.087,-1.868,0.074,-2.454,0.074,-2.52,0.074,-4.379,0.074,-4.968
0.097,-0.259,0.097,-0.27,0.093,-0.5,0.093,-0.512,0.086,-1.38,0.086,-1.371,0.086,-1.756,0.086,-1.856,0.072,-2.471,0.072,-2.529,0.072,-4.478,0.072,-4.977
0.096,-0.262,0.096,-0.265,0.092,-0.491,0.092,-0.509,0.085,-1.379,0.085,-1.382,0.085,-1.768,0.085,-1.863,0.07,-2.469,0.07,-2.523,0.07,-4.547,0.07,-4.972
0.096,-0.27,0.096,-0.279,0.092,-0.498,0.092,-0.511,0.084,-1.388,0.084,-1.38,0.084,-1.794,0.084,-1.865,0.068,-2.507,0.068,-2.56,0.068,-4.653,0.068,-5.015
0.096,-0.258,0.096,-0.264,0.091,-0.494,0.091,-0.506,0.083,-1.405,0.083,-1.391,0.083,-1.814,0.083,-1.88,0.066,-2.489,0.066,-2.537,0.066,-4.678,0.066,-4.992
0.096,-0.259,0.096,-0.273,0.091,-0.509,0.091,-0.523,0.082,-1.397,0.082,-1.385,0.082,-1.799,0.082,-1.873,0.064,-2.488,0.064,-2.538,0.064,-4.721,0.064,-4.994
0.095,-0.256,0.095,-0.264,0.09,-0.497,0.09,-0.511,0.081,-1.396,0.081,-1.383,0.081,-1.814,0.081,-1.869,0.062,-2.486,0.062,-2.53,0.062,-4.745,0.062,-4.978
0.095,-0.282,0.095,-0.285,0.09,-0.503,0.09,-0.512,0.08,-1.391,0.08,-1.383,0.08,-1.81,0.08,-1.869,0.06,-1.965,0.06,-1.991,0.06,-4.435,0.06,-4.626
0.095,-0.235,0.095,-0.268,0.089,-0.494,0.089,-0.518,0.079,-1.4,0.079,-1.391,0.079,-1.813,0.079,-1.871,0.062,-0.883,0.062,-0.886,0.062,-3.544,0.062,-3.688
0.095,-0.267,0.095,-0.27,0.089,-0.508,0.089,-0.518,0.078,-1.394,0.078,-1.38,0.078,-1.819,0.078,-1.862,0.064,0.069,0.064,0.066,0.064,-2.488,0.064,-2.58
0.094,-0.254,0.094,-0.27,0.088,-0.498,0.088,-0.509,0.077,-1.396,0.077,-1.386,0.077,-1.825,0.077,-1.871,0.066,0.828,0.066,0.818,0.066,-1.383,0.066,-1.446
0.094,-0.268,0.094,-0.279,0.088,-0.501,0.088,-0.511,0.076,-1.397,0.076,-1.385,0.076,-1.827,0.076,-1.865,0.068,1.318,0.068,1.304,0.068,-0.417,0.068,-0.46
0.094,-0.261,0.094,-0.259,0.087,-0.5,0.087,-0.506,0.075,-1.405,0.075,-1.389,0.075,-1.839,0.075,-1.883,0.07,1.661,0.07,1.655,0.07,0.443,0.07,0.414
0.093,-0.27,0.093,-0.268,0.087,-0.504,0.087,-0.52,0.074,-1.402,0.074,-1.389,0.074,-1.83,0.074,-1.873,0.072,1.897,0.072,1.882,0.072,1.175,0.072,1.143
0.093,-0.264,0.093,-0.267,0.086,-0.495,0.086,-0.518,0.073,-1.4,0.073,-1.392,0.073,-1.834,0.073,-1.871,0.074,2.077,0.074,2.051,0.074,1.818,0.074,1.785
0.093,-0.273,0.093,-0.273,0.086,-0.497,0.086,-0.514,0.072,-1.399,0.072,-1.388,0.072,-1.837,0.072,-1.874,0.076,2.172,0.076,2.16,0.076,2.327,0.076,2.304
0.093,-0.274,0.093,-0.268,0.086,-0.497,0.086,-0.504,0.071,-1.405,0.071,-1.388,0.071,-1.84,0.071,-1.879,0.078,2.253,0.078,2.238,0.078,2.768,0.078,2.735
0.092,-0.264,0.092,-0.268,0.085,-0.512,0.085,-0.517,0.07,-1.4,0.07,-1.396,0.07,-1.834,0.07,-1.871,0.08,2.294,0.08,2.282,0.08,3.117,0.08,3.09
0.092,-0.265,0.092,-0.264,0.085,-0.504,0.085,-0.511,0.069,-1.403,0.069,-1.394,0.069,-1.836,0.069,-1.877,0.082,2.354,0.082,2.337,0.082,3.436,0.082,3.403
0.092,-0.278,0.092,-0.274,0.084,-0.501,0.084,-0.517,0.068,-1.4,0.068,-1.394,0.068,-1.846,0.068,-1.876,0.084,2.367,0.084,2.351,0.084,3.663,0.084,3.63
0.092,-0.254,0.092,-0.271,0.084,-0.504,0.084,-0.506,0.067,-1.432,0.067,-1.419,0.067,-1.873,0.067,-1.905,0.086,2.382,0.086,2.365,0.086,3.868,0.086,3.831
0.091,-0.264,0.091,-0.271,0.083,-0.523,0.083,-0.538,0.066,-1.416,0.066,-1.403,0.066,-1.86,0.066,-1.883,0.088,2.385,0.088,2.368,0.088,4.015,0.088,3.983
0.091,-0.265,0.091,-0.273,0.083,-0.501,0.083,-0.515,0.065,-1.412,0.065,-1.394,0.065,-1.854,0.065,-1.885,0.09,2.402,0.09,2.39,0.09,4.166,0.09,4.135
0.091,-0.271,0.091,-0.273,0.082,-0.501,0.082,-0.508,0.064,-1.408,0.064,-1.4,0.064,-1.851,0.064,-1.883,0.092,2.399,0.092,2.388,0.092,4.264,0.092,4.235
0.091,-0.27,0.091,-0.278,0.082,-0.512,0.082,-0.511,0.063,-1.408,0.063,-1.4,0.063,-1.859,0.063,-1.88,0.094,2.405,0.094,2.391,0.094,4.354,0.094,4.322
0.09,-0.271,0.09,-0.274,0.081,-0.509,0.081,-0.52,0.062,-1.409,0.062,-1.4,0.062,-1.854,0.062,-1.882,0.096,2.399,0.096,2.387,0.096,4.416,0.096,4.383
0.09,-0.267,0.09,-0.281,0.081,-0.503,0.081,-0.512,0.061,-1.414,0.061,-1.4,0.061,-1.853,0.061,-1.882,0.098,2.422,0.098,2.411,0.098,4.503,0.098,4.48
0.09,-0.276,0.09,-0.273,0.08,-0.504,0.08,-0.526,0.06,-1.199,0.06,-1.179,0.06,-1.676,0.06,-1.685,0.1,2.406,0.1,2.393,0.1,4.529,0.1,4.506
0.09,-0.256,0.09,-0.268,0.08,-0.498,0.08,-0.518,0.061,-0.679,0.061,-0.658,0.061,-1.15,0.061,-1.17,0.102,2.403,0.102,2.393,0.102,4.572,0.102,4.538
0.089,-0.262,0.089,-0.27,0.079,-0.518,0.079,-0.521,0.062,-0.198,0.062,-0.169,0.062,-0.623,0.062,-0.624,0.104,2.393,0.104,2.38,0.104,4.586,0.104,4.563
0.089,-0.273,0.089,-0.265,0.079,-0.504,0.079,-0.52,0.063,0.19,0.063,0.213,0.063,-0.129,0.063,-0.129,0.106,2.403,0.106,2.393,0.106,4.62,0.106,4.597
0.089,-0.282,0.089,-0.287,0.078,-0.509,0.078,-0.517,0.064,0.466,0.064,0.486,0.064,0.279,0.064,0.273,0.108,2.387,0.108,2.38,0.108,4.629,0.108,4.615
0.089,-0.267,0.089,-0.265,0.077,-0.506,0.077,-0.518,0.065,0.666,0.065,0.686,0.065,0.621,0.065,0.611,0.11,2.4,0.11,2.379,0.11,4.644,0.11,4.618
0.088,-0.262,0.088,-0.262,0.077,-0.514,0.077,-0.523,0.066,0.805,0.066,0.821,0.066,0.871,0.066,0.864,0.112,2.377,0.112,2.373,0.112,4.643,0.112,4.616
0.088,-0.264,0.088,-0.273,0.076,-0.508,0.076,-0.512,0.067,0.926,0.067,0.942,0.067,1.112,0.067,1.101,0.114,2.393,0.114,2.382,0.114,4.672,0.114,4.653
0.088,-0.274,0.088,-0.279,0.076,-0.508,0.076,-0.521,0.068,0.982,0.068,0.994,0.068,1.256,0.068,1.239,0.116,2.374,0.116,2.37,0.116,4.659,0.116,4.644
0.088,-0.274,0.088,-0.264,0.075,-0.514,0.075,-0.514,0.069,1.032,0.069,1.041,0.069,1.376,0.069,1.365,0.118,2.373,0.118,2.367,0.118,4.659,0.118,4.643
0.087,-0.268,0.087,-0.267,0.075,-0.526,0.075,-0.529,0.07,1.063,0.07,1.068,0.07,1.468,0.07,1.446,0.12,2.359,0.12,2.354,0.12,4.649,0.12,4.63
0.087,-0.262,0.087,-0.268,0.074,-0.511,0.074,-0.514,0.071,1.094,0.071,1.103,0.071,1.543,0.071,1.534,0.122,2.37,0.122,2.359,0.122,4.656,0.122,4.635
0.087,-0.285,0.087,-0.297,0.074,-0.511,0.074,-0.52,0.072,1.104,0.072,1.117,0.072,1.589,0.072,1.583,0.124,2.353,0.124,2.347,0.124,4.64,0.124,4.621
0.087,-0.273,0.087,-0.274,0.073,-0.521,0.073,-0.52,0.073,1.121,0.073,1.132,0.073,1.638,0.073,1.624,0.126,2.347,0.126,2.345,0.126,4.633,0.126,4.623
0.086,-0.259,0.086,-0.267,0.073,-0.515,0.073,-0.521,0.074,1.13,0.074,1.135,0.074,1.663,0.074,1.65,0.128,2.337,0.128,2.33,0.128,4.62,0.128,4.604
0.086,-0.259,0.086,-0.259,0.072,-0.509,0.072,-0.515,0.075,1.149,0.075,1.161,0.075,1.716,0.075,1.692,0.13,2.362,0.13,2.367,0.13,4.65,0.13,4.638
0.086,-0.284,0.086,-0.288,0.072,-0.508,0.072,-0.517,0.076,1.152,0.076,1.157,0.076,1.725,0.076,1.701,0.132,2.336,0.132,2.328,0.132,4.618,0.132,4.604
0.086,-0.267,0.086,-0.27,0.071,-0.511,0.071,-0.515,0.077,1.163,0.077,1.166,0.077,1.741,0.077,1.722,0.134,2.327,0.134,2.324,0.134,4.609,0.134,4.59
0.086,-0.27,0.086,-0.274,0.071,-0.518,0.071,-0.527,0.078,1.158,0.078,1.166,0.078,1.741,0.078,1.733,0.136,2.31,0.136,2.307,0.136,4.581,0.136,4.56
0.085,-0.264,0.085,-0.253,0.07,-0.509,0.07,-0.514,0.079,1.172,0.079,1.175,0.079,1.765,0.079,1.744,0.138,2.313,0.138,2.31,0.138,4.578,0.138,4.567
0.085,-0.288,0.085,-0.285,0.07,-0.511,0.07,-0.523,0.08,1.172,0.08,1.17,0.08,1.759,0.08,1.753,0.14,2.298,0.14,2.296,0.14,4.549,0.14,4.538
